Row #	Structure  Number	Station     (m)	Height  Adjust.   (m)	Offset  Adjust.   (m)	Orientation  Angle   (deg)	X  Easting   (m)	Y  Northing   (m)	Centerline Z  Elevation   (m)	TIN Z  Elevation   (m)	Ahead  Span   (m)	Line  Angle   (deg)	Sets In  XY Structure  Line Angle  Calculation	Transverse  Axis  Azimuth (deg)	Structure  Name	Structure  Description	Struct.  Height   (m)	Embedded  Length   (m)	Structure  Specific  Material	Counter  Weights   (N)	Automatic  Structure  Group  Membership	Manual  Structure  Group  Membership	Structure  Comment  1	Structure  Comment  2	Structure  Comment  3	Structure  Comment  4	Structure  Comment  5	Structure  Comment  6	Structure  Comment  7	Structure  Comment  8	Structure  Comment  9	Structure  Comment  10	Structure  Comment  11	Structure  Comment  12	Structure  Comment  13	Structure  Comment  14	Structure  Comment  15	Structure  Comment  16	Structure  Comment  17	Structure  Comment  18	Structure  Comment  19	Structure  Comment  20	Structure  Comment  21	Structure  Comment  22	Structure  Comment  23	Structure  Comment  24	Structure  Comment  25	Structure  Comment  26	Structure  Comment  27	Structure  Comment  28	Structure  Comment  29	Structure  Comment  30	Structure  Comment  31	Structure  Comment  32	Structure  Comment  33	Structure  Comment  34	Structure  Comment  35	Structure  Comment  36	Structure  Comment  37	Structure  Comment  38	Structure  Comment  39	Structure  Comment  40	Structure  Comment  41	Structure  Comment  42	Structure  Comment  43	Structure  Comment  44	Structure  Comment  45	Structure  Comment  46	Structure  Comment  47	Structure  Comment  48	Structure  Comment  49	Structure  Comment  50
11	10	2846.249	-0.277			364402.577	6327207.479	24.03	24.037	280.823		Jan-60	99.388	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-80kN-40m(6f).POL	QSF/S3 RPC-80kN-40m	34	6	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	10	QSF/S3																																																
12	11	3127.072	-0.121			364448.385	6327484.541	28.76	28.76	277.389		Jan-60	99.388	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-60kN-39m(6f).POL	QSF/S3 RPC-60kN-39m	33	6	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	11	QSF/S3																																																
13	12	3404.461	-0.139			364493.553	6327758.228	35.776	35.778	230.558		Jan-60	99.4153	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-80kN-30m(4.5f).POL	QSF/S3 RPC-80kN-30m	25.5	4.5	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	12	QSF/S3																																																
14	13	3635.019	0.3		21.5	364531.27	6327985.68	25.86	25.86	275.452	-17.4772	Jan-60	112.1767	C:\PLS\TG_NAPD04640_old\20230810\structures\TR52.32\TR66_TL23_IM_AU_Rev01_2023-03-31 [Str13].tow	Tower type TR - TL23	29.815		0		"'All', 'Has DE', 'All sets DE', 'Angle', 'TOWER', 'TOWER has DE', 'TOWER angle'"	"'EX_TOWER', 'EX_STOP'"	13	TR66																																																
15	16	3910.471	0.35		-17	364492.64	6328258.41	24.72	24.72	354.024	25.7449	Jan-60	77.8106	C:\PLS\TG_NAPD04640_old\20230810\structures\Strengthened Tower\Str 16\TT70-C3669_TL23_IM_AU_Rev01_2023-05-01 [Str16 STRENGTHENED].tow	TT70_C3669	30.961		0		"'All', 'Has DE', 'All sets DE', 'Angle', 'TOWER', 'TOWER has DE', 'TOWER angle'"	"'EX_TOWER', 'EX_STOP'"	16	TT70																																																
16	17	4264.495	-0.14			364600.175	6328595.707	16.773	16.757	419.886		Jan-60	107.683	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-80kN-43m(6.5f).POL	QSF/S3 RPC-80kN-43m	36.5	6.5	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	17	QSF/S3																																																
17	18	4684.381	-0.285			364727.249	6328995.902	6.462	6.381	422.197		Jan-60	107.6142	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-80kN-43m(7f).POL	QSF/S3 RPC-80kN-43m	36	7	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	18	QSF/S3																																																
18	19	5106.578	-0.257			364854.584	6329398.439	5.29	5.29	360.505		Jan-60	107.5784	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-80kN-38m(6f).POL	QSF/S3 RPC-80kN-38m	32	6	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	19	QSF/S3																																																
19	20	5467.083	0.4			364963.46	6329742.11	4.26	4.26	253.068	-59.2442	Jan-60	77.9563	C:\PLS\TG_NAPD04640_old\20230810\structures\Strengthened Tower\Str 20\TR77_TL23_IM_AU_Rev01_2023-03-31 [Str20 STRENGTHENED].tow	Tower type TR - TL23	33.244		0		"'All', 'Has DE', 'All sets DE', 'Angle', 'TOWER', 'TOWER has DE', 'TOWER angle'"	'EX_TOWER'	20	TR77																																																
20	21	5720.151	-0.069			364795.214	6329931.152	6.817	6.723	385.97		Jan-60	48.2951	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-80kN-40m(6f).POL	QSF/S3 RPC-80kN-40m	34	6	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	21	QSF/S3																																																
21	22	6106.121	0.3			364538.43	6330219.31	8.92	8.92	288.493	-33.9088	Jan-60	31.3407	C:\PLS\TG_NAPD04640_old\20230810\structures\TR52.32\TR77_TL23_IM_AU_Rev01_2023-03-31 [Str22].tow	Tower type TR - TL23	33.244		0		"'All', 'Has DE', 'All sets DE', 'Angle', 'TOWER', 'TOWER has DE', 'TOWER angle'"	'EX_TOWER'	22	TR77																																																
22	23	6394.614	-0.178			364258.984	6330290.988	2.789	2.875	202.817		Jan-60	14.3863	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QSF RPC-80kN-43m(10.5f).POL	QSF/S3 RPC-80kN-43m	32.5	10.5	0		"'All', 'No DE', 'Not all sets DE', 'PLS-POLE', 'PLS-POLE no DE'"	'NEW_POLE'	23	QSF/S3																																																
23	24	6597.323	-0.3	0.4	10	364062.713	6330342.1	5.9	5.954	70.506	-31.1322	Jan-60	8.9278	C:\PLS\TG_NAPD04640_old\20230810\structures\TR52.32\TR70_TL23_IM_AU_Rev01_2023-03-31 [Str24].tow	Tower type TR - TL23	32.1		0		"'All', 'Has DE', 'All sets DE', 'Angle', 'TOWER', 'TOWER has DE', 'TOWER angle'"	"'EX_TOWER', 'EX_STOP'"	24	TR70																																																
24	24a	6635.147	-0.124	-2.5		364028.015	6330328.897	7.94	7.816	36.736	-42.5026	Jan-60	322.1104	C:\PLS\TG_NAPD04640_old\20230810\structures\QSF\QTJ RPC-80kN-26m(6f).POL	QTJ RPC-80kN-26m	20	6	0		"'All', 'Has DE', 'All sets DE', 'Angle', 'PLS-POLE', 'PLS-POLE has DE', 'PLS-POLE angle'"	'NEW_POLE_STRAIN'	24a	QTJ																																																
25	25	6672.716	0.3		10.9	364007.21	6330298.62	6.98	6.98	78.594	-67.3485	Jan-60	278.0849	C:\PLS\TG_NAPD04640_old\20230810\structures\TT23_c3211\TT_C3211 APD_Tow 25\TT50-C3211_TL23_SM_AU_Rev01_2023-02-27 [Str25].tow	TT50 C3211	26.366		0		"'All', 'Has DE', 'All sets DE', 'Angle', 'TOWER', 'TOWER has DE', 'TOWER angle'"	"'EX_TOWER', 'EX_STOP'"	25	TT55																																																
26	VLS GANTRY	6751.31				364053.948	6330235.433	3.39	3.39			Jan-60	233.5106	C:\PLS\TG_NAPD04640_old\20230810\structures\Stick\vls gantry.#vls	VLS gantry	27.23		0		"'All', 'Has DE', 'All sets DE'"		VLS GANTRY	GTT																																																
27																																																																							
28																																																																							
29																																																																							
30																																																																							
31																																																																							
32																																																																							
33																																																																							
34																																																																							
35																																																																							
36																																																																							
37																																																																							
38																																																																							
39																																																																							
40																																																																							
41																																																																							
42																																																																							
43																																																																							
44																																																																							
45																																																																							
46																																																																							
47																																																																							
48																																																																							
49																																																																							
50																																																																							
51																																																																							
52																																																																							
53																																																																							
54																																																																							
55																																																																							
56																																																																							
57																																																																							
58																																																																							
59																																																																							
60																																																																							
61																																																																							
62																																																																							
63																																																																							
64																																																																							
65																																																																							
66																																																																							
67																																																																							
68																																																																							
69																																																																							
70																																																																							
71																																																																							
72																																																																							
73																																																																							
74																																																																							
75																																																																							
76																																																																							
77																																																																							
78																																																																							
79																																																																							
80																																																																							
81																																																																							
82																																																																							
83																																																																							
84																																																																							
85																																																																							
86																																																																							
87																																																																							
88																																																																							
89																																																																							
90																																																																							
91																																																																							
92																																																																							
93																																																																							
94																																																																							
95																																																																							
96																																																																							
97																																																																							
98																																																																							
99																																																																							
100																																																																							
101																																																																							
102																																																																							
103																																																																							
104																																																																							
105																																																																							
106																																																																							
107																																																																							
108																																																																							
109																																																																							
110																																																																							
111																																																																							
112																																																																							
113																																																																							
114																																																																							
115																																																																							
116																																																																							
117																																																																							
118																																																																							
119																																																																							
120																																																																							
121																																																																							
122																																																																							
123																																																																							
124																																																																							
125																																																																							
126																																																																							
127																																																																							
128																																																																							
129																																																																							
130																																																																							
131																																																																							
132																																																																							
133																																																																							
134																																																																							
135																																																																							
136																																																																							
137																																																																							
138																																																																							
139																																																																							
140																																																																							
141																																																																							
142																																																																							
143																																																																							
144																																																																							
145																																																																							
146																																																																							
147																																																																							
148																																																																							
149																																																																							
150																																																																							
151																																																																							
152																																																																							
153																																																																							
154																																																																							
155																																																																							
156																																																																							
157																																																																							
158																																																																							
159																																																																							
160																																																																							
161																																																																							
162																																																																							
163																																																																							
164																																																																							
165																																																																							
166																																																																							
167																																																																							
168																																																																							
169																																																																							
170																																																																							
171																																																																							
172																																																																							
173																																																																							
174																																																																							
175																																																																							
176																																																																							
177																																																																							
178																																																																							
179																																																																							
180																																																																							
181																																																																							
182																																																																							
183																																																																							
184																																																																							
185																																																																							
186																																																																							
187																																																																							
188																																																																							
189																																																																							
190																																																																							
191																																																																							
192																																																																							
193																																																																							
194																																																																							
195																																																																							
196																																																																							
197																																																																							
198																																																																							
199																																																																							
200																																																																							
201																																																																							
202																																																																							
203																																																																							
204																																																																							
205																																																																							
206																																																																							
207																																																																							
208																																																																							
209																																																																							
210																																																																							
211																																																																							
212																																																																							
213																																																																							
214																																																																							
215																																																																							
216																																																																							
217																																																																							
218																																																																							
219																																																																							
220																																																																							
221																																																																							
222																																																																							
223																																																																							
224																																																																							
225																																																																							
226																																																																							
227																																																																							
228																																																																							
229																																																																							
230																																																																							
231																																																																							
232																																																																							
233																																																																							
234																																																																							
235																																																																							
236																																																																							
237																																																																							
238																																																																							
239																																																																							
240																																																																							
241																																																																							
242																																																																							
243																																																																							
244																																																																							
245																																																																							
246																																																																							
247																																																																							
248																																																																							
249																																																																							
250																																																																							
251																																																																							
252																																																																							
253																																																																							
254																																																																							
255																																																																							
256																																																																							
257																																																																							
258																																																																							
259																																																																							
260																																																																							
261																																																																							
262																																																																							
263																																																																							
264																																																																							
265																																																																							
266																																																																							
267																																																																							
268																																																																							
269																																																																							
270																																																																							
271																																																																							
272																																																																							
273																																																																							
274																																																																							
275																																																																							
276																																																																							
277																																																																							
278																																																																							
279																																																																							
280																																																																							
281																																																																							
282																																																																							
283																																																																							
284																																																																							
285																																																																							
286																																																																							
287																																																																							
288																																																																							
289																																																																							
290																																																																							
291																																																																							
292																																																																							
293																																																																							
294																																																																							
295																																																																							
296																																																																							
297																																																																							
298																																																																							
299																																																																							
300																																																																							
301																																																																							
302																																																																							
303																																																																							
304																																																																							
305																																																																							
306																																																																							
307																																																																							
308																																																																							
309																																																																							
310																																																																							
311																																																																							
312																																																																							
313																																																																							
314																																																																							
315																																																																							
316																																																																							
317																																																																							
318																																																																							
319																																																																							
320																																																																							
321																																																																							
322																																																																							
323																																																																							
324																																																																							
325																																																																							
326																																																																							
327																																																																							
328																																																																							
329																																																																							
330																																																																							
331																																																																							
332																																																																							
333																																																																							
334																																																																							
335																																																																							
336																																																																							
337																																																																							
338																																																																							
339																																																																							
340																																																																							
341																																																																							
342																																																																							
343																																																																							
344																																																																							
345																																																																							
346																																																																							
347																																																																							
348																																																																							
349																																																																							
350																																																																							
351																																																																							
352																																																																							
353																																																																							
354																																																																							
355																																																																							
356																																																																							
357																																																																							
358																																																																							
359																																																																							
360																																																																							
361																																																																							
362																																																																							
363																																																																							
364																																																																							
365																																																																							
366																																																																							
367																																																																							
368																																																																							
369																																																																							
370																																																																							
371																																																																							
372																																																																							
373																																																																							
374																																																																							
375																																																																							
376																																																																							
377																																																																							
378																																																																							
379																																																																							
380																																																																							
381																																																																							
382																																																																							
383																																																																							
384																																																																							
385																																																																							
386																																																																							
387																																																																							
388																																																																							
389																																																																							
390																																																																							
391																																																																							
392																																																																							
393																																																																							
394																																																																							
395																																																																							
396																																																																							
397																																																																							
398																																																																							
399																																																																							
400																																																																							
401																																																																							
402																																																																							
403																																																																							
404																																																																							
405																																																																							
406																																																																							
407																																																																							
408																																																																							
409																																																																							
410																																																																							
411																																																																							
412																																																																							
413																																																																							
414																																																																							
415																																																																							
416																																																																							
417																																																																							
418																																																																							
419																																																																							
420																																																																							
421																																																																							
422																																																																							
423																																																																							
424																																																																							
425																																																																							
426																																																																							
427																																																																							
428																																																																							
429																																																																							
430																																																																							
431																																																																							
432																																																																							
433																																																																							
434																																																																							
435																																																																							
436																																																																							
437																																																																							
438																																																																							
439																																																																							
440																																																																							
441																																																																							
442																																																																							
443																																																																							
444																																																																							
445																																																																							
446																																																																							
447																																																																							
448																																																																							
449																																																																							
450																																																																							
451																																																																							
452																																																																							
453																																																																							
454																																																																							
455																																																																							
456																																																																							
457																																																																							
458																																																																							
459																																																																							
460																																																																							
461																																																																							
462																																																																							
463																																																																							
464																																																																							
465																																																																							
466																																																																							
467																																																																							
468																																																																							
469																																																																							
470																																																																							
471																																																																							
472																																																																							
473																																																																							
474																																																																							
475																																																																							
476																																																																							
477																																																																							
478																																																																							
479																																																																							
480																																																																							
481																																																																							
482																																																																							
483																																																																							
484																																																																							
485																																																																							
486																																																																							
487																																																																							
488																																																																							
489																																																																							
490																																																																							
491																																																																							
492																																																																							
493																																																																							
494																																																																							
495																																																																							
496																																																																							
497																																																																							
498																																																																							
499																																																																							
500																																																																							
501																																																																							
502																																																																							
503																																																																							
504																																																																							
505																																																																							
506																																																																							
507																																																																							
508																																																																							
509																																																																							
510																																																																							
511																																																																							
512																																																																							
513																																																																							
514																																																																							
515																																																																							
516																																																																							
517																																																																							
518																																																																							
519																																																																							
520																																																																							
521																																																																							
522																																																																							
523																																																																							
524																																																																							
525																																																																							
526																																																																							
527																																																																							
528																																																																							
529																																																																							
530																																																																							
531																																																																							
532																																																																							
533																																																																							
534																																																																							
535																																																																							
536																																																																							
537																																																																							
538																																																																							
539																																																																							
540																																																																							
541																																																																							
542																																																																							
543																																																																							
544																																																																							
545																																																																							
546																																																																							
547																																																																							
548																																																																							
549																																																																							
550																																																																							
551																																																																							
552																																																																							
553																																																																							
554																																																																							
555																																																																							
556																																																																							
557																																																																							
558																																																																							
559																																																																							
560																																																																							
561																																																																							
562																																																																							
563																																																																							
564																																																																							
565																																																																							
566																																																																							
567																																																																							
568																																																																							
569																																																																							
570																																																																							
571																																																																							
572																																																																							
573																																																																							
574																																																																							
575																																																																							
576																																																																							
577																																																																							
578																																																																							
579																																																																							
580																																																																							
581																																																																							
582																																																																							
583																																																																							
584																																																																							
585																																																																							
586																																																																							
587																																																																							
588																																																																							
589																																																																							
590																																																																							
591																																																																							
592																																																																							
593																																																																							
594																																																																							
595																																																																							
596																																																																							
597																																																																							
598																																																																							
599																																																																							
600																																																																							
601																																																																							
602																																																																							
603																																																																							
604																																																																							
605																																																																							
606																																																																							
607																																																																							
608																																																																							
609																																																																							
610																																																																							
611																																																																							
612																																																																							
613																																																																							
614																																																																							
615																																																																							
616																																																																							
617																																																																							
618																																																																							
619																																																																							
620																																																																							
621																																																																							
622																																																																							
623																																																																							
624																																																																							
625																																																																							
626																																																																							
627																																																																							
628																																																																							
629																																																																							
630																																																																							
631																																																																							
632																																																																							
633																																																																							
634																																																																							
635																																																																							
636																																																																							
637																																																																							
638																																																																							
639																																																																							
640																																																																							
641																																																																							
642																																																																							
643																																																																							
644																																																																							
645																																																																							
646																																																																							
647																																																																							
648																																																																							
649																																																																							
650																																																																							
651																																																																							
652																																																																							
653																																																																							
654																																																																							
655																																																																							
656																																																																							
657																																																																							
658																																																																							
659																																																																							
660																																																																							
661																																																																							
662																																																																							
663																																																																							
664																																																																							
665																																																																							
666																																																																							
667																																																																							
668																																																																							
669																																																																							
670																																																																							
671																																																																							
672																																																																							
673																																																																							
674																																																																							
675																																																																							
676																																																																							
677																																																																							
678																																																																							
679																																																																							
680																																																																							
681																																																																							
682																																																																							
683																																																																							
684																																																																							
685																																																																							
686																																																																							
687																																																																							
688																																																																							
689																																																																							
690																																																																							
691																																																																							
692																																																																							
693																																																																							
694																																																																							
695																																																																							
696																																																																							
697																																																																							
698																																																																							
699																																																																							
700																																																																							
701																																																																							
702																																																																							
703																																																																							
704																																																																							
705																																																																							
706																																																																							
707																																																																							
708																																																																							
709																																																																							
710																																																																							
711																																																																							
712																																																																							
713																																																																							
714																																																																							
715																																																																							
716																																																																							
717																																																																							
718																																																																							
719																																																																							
720																																																																							
721																																																																							
722																																																																							
723																																																																							
724																																																																							
725																																																																							
726																																																																							
727																																																																							
728																																																																							
729																																																																							
730																																																																							
731																																																																							
732																																																																							
733																																																																							
734																																																																							
735																																																																							
736																																																																							
737																																																																							
738																																																																							
739																																																																							
740																																																																							
741																																																																							
742																																																																							
743																																																																							
744																																																																							
745																																																																							
746																																																																							
747																																																																							
748																																																																							
749																																																																							
750																																																																							
751																																																																							
752																																																																							
753																																																																							
754																																																																							
755																																																																							
756																																																																							
757																																																																							
758																																																																							
759																																																																							
760																																																																							
761																																																																							
762																																																																							
763																																																																							
764																																																																							
765																																																																							
766																																																																							
767																																																																							
768																																																																							
769																																																																							
770																																																																							
771																																																																							
772																																																																							
773																																																																							
774																																																																							
775																																																																							
776																																																																							
777																																																																							
778																																																																							
779																																																																							
780																																																																							
781																																																																							
782																																																																							
783																																																																							
784																																																																							
785																																																																							
786																																																																							
787																																																																							
788																																																																							
789																																																																							
790																																																																							
791																																																																							
792																																																																							
793																																																																							
794																																																																							
795																																																																							
796																																																																							
797																																																																							
798																																																																							
799																																																																							
800																																																																							
801																																																																							
802																																																																							
803																																																																							
804																																																																							
805																																																																							
806																																																																							
807																																																																							
808																																																																							
809																																																																							
810																																																																							
811																																																																							
812																																																																							
813																																																																							
814																																																																							
815																																																																							
816																																																																							
817																																																																							
818																																																																							
819																																																																							
820																																																																							
821																																																																							
822																																																																							
823																																																																							
824																																																																							
825																																																																							
826																																																																							
827																																																																							
828																																																																							
829																																																																							
830																																																																							
831																																																																							
832																																																																							
833																																																																							
834																																																																							
835																																																																							
836																																																																							
837																																																																							
838																																																																							
839																																																																							
840																																																																							
841																																																																							
842																																																																							
843																																																																							
844																																																																							
845																																																																							
846																																																																							
847																																																																							
848																																																																							
849																																																																							
850																																																																							
851																																																																							
852																																																																							
853																																																																							
854																																																																							
855																																																																							
856																																																																							
857																																																																							
858																																																																							
859																																																																							
860																																																																							
861																																																																							
862																																																																							
863																																																																							
864																																																																							
865																																																																							
866																																																																							
867																																																																							
868																																																																							
869																																																																							
870																																																																							
871																																																																							
872																																																																							
873																																																																							
874																																																																							
875																																																																							
876																																																																							
877																																																																							
878																																																																							
879																																																																							
880																																																																							
881																																																																							
882																																																																							
883																																																																							
884																																																																							
885																																																																							
886																																																																							
887																																																																							
888																																																																							
889																																																																							
890																																																																							
891																																																																							
892																																																																							
893																																																																							
894																																																																							
895																																																																							
896																																																																							
897																																																																							
898																																																																							
899																																																																							
900																																																																							
901																																																																							
902																																																																							
903																																																																							
904																																																																							
905																																																																							
906																																																																							
907																																																																							
908																																																																							
909																																																																							
910																																																																							
911																																																																							
912																																																																							
913																																																																							
914																																																																							
915																																																																							
916																																																																							
917																																																																							
918																																																																							
919																																																																							
920																																																																							
921																																																																							
922																																																																							
923																																																																							
924																																																																							
925																																																																							
926																																																																							
927																																																																							
928																																																																							
929																																																																							
930																																																																							
931																																																																							
932																																																																							
933																																																																							
934																																																																							
935																																																																							
936																																																																							
937																																																																							
938																																																																							
939																																																																							
940																																																																							
941																																																																							
942																																																																							
943																																																																							
944																																																																							
945																																																																							
946																																																																							
947																																																																							
948																																																																							
949																																																																							
950																																																																							
951																																																																							
952																																																																							
953																																																																							
954																																																																							
955																																																																							
956																																																																							
957																																																																							
958																																																																							
959																																																																							
960																																																																							
961																																																																							
962																																																																							
963																																																																							
964																																																																							
965																																																																							
966																																																																							
967																																																																							
968																																																																							
969																																																																							
970																																																																							
971																																																																							
972																																																																							
973																																																																							
974																																																																							
975																																																																							
976																																																																							
977																																																																							
978																																																																							
979																																																																							
980																																																																							
981																																																																							
982																																																																							
983																																																																							
984																																																																							
985																																																																							
986																																																																							
987																																																																							
988																																																																							
989																																																																							
990																																																																							
991																																																																							
992																																																																							
993																																																																							
994																																																																							
995																																																																							
996																																																																							
997																																																																							
998																																																																							
999																																																																							
1000																																																																							
1001																																																																							
1002																																																																							
1003																																																																							
1004																																																																							
1005																																																																							
1006																																																																							
1007																																																																							
1008																																																																							
1009																																																																							
1010																																																																							
1011																																																																							
1012																																																																							
1013																																																																							
1014																																																																							
1015																																																																							
1016																																																																							
1017																																																																							
1018																																																																							
1019																																																																							
1020																																																																							
1021																																																																							
1022																																																																							
1023																																																																							
1024																																																																							
1025																																																																							
1026																																																																							
